Annual Income,Spending Score,Cluster
15.0,39.0,1
16.0,6.0,1
17.0,40.0,1
18.0,6.0,1
19.0,3.0,1
19.0,14.0,1
20.0,15.0,1
20.0,13.0,1
21.0,35.0,1
23.0,29.0,1
24.0,35.0,1
25.0,5.0,1
28.0,14.0,1
28.0,32.0,1
29.0,31.0,1
30.0,4.0,1
33.0,4.0,1
33.0,14.0,1
34.0,17.0,1
37.0,26.0,1
38.0,35.0,1
39.0,36.0,1
39.0,28.0,1
40.0,42.0,1
40.0,42.0,1
43.0,41.0,1
15.0,81.0,2
16.0,77.0,2
17.0,76.0,2
18.0,94.0,2
19.0,72.0,2
19.0,99.0,2
20.0,77.0,2
20.0,79.0,2
21.0,66.0,2
23.0,98.0,2
24.0,73.0,2
25.0,73.0,2
28.0,82.0,2
28.0,61.0,2
29.0,87.0,2
30.0,73.0,2
33.0,92.0,2
33.0,81.0,2
34.0,73.0,2
37.0,75.0,2
38.0,92.0,2
39.0,61.0,2
39.0,65.0,2
40.0,55.0,2
40.0,47.0,2
42.0,52.0,2
42.0,60.0,2
43.0,54.0,2
43.0,60.0,2
43.0,45.0,2
44.0,50.0,2
44.0,46.0,2
46.0,51.0,2
46.0,46.0,2
46.0,56.0,2
46.0,55.0,2
47.0,52.0,2
47.0,59.0,2
48.0,51.0,2
48.0,59.0,2
48.0,50.0,2
48.0,48.0,2
48.0,59.0,2
48.0,47.0,2
49.0,55.0,2
49.0,42.0,2
50.0,49.0,2
50.0,56.0,2
54.0,47.0,2
54.0,54.0,2
54.0,53.0,2
54.0,48.0,2
54.0,52.0,2
54.0,42.0,2
54.0,51.0,2
54.0,55.0,2
54.0,41.0,2
54.0,44.0,2
54.0,57.0,2
54.0,46.0,2
57.0,58.0,2
57.0,55.0,2
58.0,60.0,2
58.0,46.0,2
59.0,55.0,2
59.0,41.0,2
60.0,49.0,2
60.0,40.0,2
60.0,42.0,2
60.0,52.0,2
60.0,47.0,2
60.0,50.0,2
61.0,42.0,2
61.0,49.0,2
62.0,41.0,2
62.0,48.0,2
62.0,59.0,2
62.0,55.0,2
62.0,56.0,2
62.0,42.0,2
63.0,50.0,2
63.0,46.0,2
63.0,43.0,2
63.0,48.0,2
63.0,52.0,2
63.0,54.0,2
64.0,42.0,2
64.0,46.0,2
65.0,48.0,2
65.0,50.0,2
65.0,43.0,2
65.0,59.0,2
67.0,43.0,2
67.0,57.0,2
67.0,56.0,2
67.0,40.0,2
69.0,58.0,2
69.0,91.0,2
70.0,77.0,2
71.0,95.0,2
71.0,75.0,2
71.0,75.0,2
72.0,71.0,2
73.0,88.0,2
73.0,73.0,2
74.0,72.0,2
75.0,93.0,2
76.0,87.0,2
77.0,97.0,2
77.0,74.0,2
78.0,90.0,2
78.0,88.0,2
78.0,76.0,2
78.0,89.0,2
78.0,78.0,2
78.0,73.0,2
79.0,83.0,2
81.0,93.0,2
85.0,75.0,2
86.0,95.0,2
87.0,63.0,2
87.0,75.0,2
87.0,92.0,2
88.0,86.0,2
88.0,69.0,2
93.0,90.0,2
97.0,86.0,2
98.0,88.0,2
99.0,97.0,2
101.0,68.0,2
103.0,85.0,2
103.0,69.0,2
113.0,91.0,2
120.0,79.0,2
70.0,29.0,3
71.0,35.0,3
71.0,11.0,3
71.0,9.0,3
72.0,34.0,3
73.0,5.0,3
73.0,7.0,3
74.0,10.0,3
75.0,5.0,3
76.0,40.0,3
77.0,12.0,3
77.0,36.0,3
78.0,22.0,3
78.0,17.0,3
78.0,20.0,3
78.0,16.0,3
78.0,1.0,3
78.0,1.0,3
79.0,35.0,3
81.0,5.0,3
85.0,26.0,3
86.0,20.0,3
87.0,27.0,3
87.0,13.0,3
87.0,10.0,3
88.0,13.0,3
88.0,15.0,3
93.0,14.0,3
97.0,32.0,3
98.0,15.0,3
99.0,39.0,3
101.0,24.0,3
103.0,17.0,3
103.0,23.0,3
113.0,8.0,3
120.0,16.0,3
126.0,28.0,3
126.0,74.0,3
137.0,18.0,3
137.0,83.0,3
